code_ISIN,nom_du_produit,emetteur_du_produit,date_emission,date_remboursement,mention_complexite,montant_minimum_investissement,niveau_garantie,niveau_barriere_desactivante,niveau_risque,produit_sous_jacent,nature_sous_jacent,code_ISIN_sous_jacent,frais_ponctuels_entree,frais_ponctuels_sortie_echeance,frais_ponctuels_sortie_anticipee,frais_recurrents,frais_accessoires,performance_tension,performance_maximale,espérance_maximale_rendement,date_actualisation,resume_mecanisme,resume_detaille_mecanisme,complexite_gpt
XS2011118978,Produit (sous forme de titre de créance) de remboursement par anticipation avec barrière de 8 ans et 9 mois lié à l'indice Euronext G Bouygues 261021 GR Decrement 1.7 Index,Goldman Sachs Finance Corp International Ltd,2022-02-22,2032-05-03,Oui,1000.0,0.0,0.5,1,Euronext G Bouygues 261021 GR Decrement 1.7 Index,Indice,,0.0,0.0,0.009,0.0,Non,0.01,0.01,,2024-02-28,"• Titre de créance sans génération d'intérêts.
• Remboursement anticipé possible selon performance de l'indice sous-jacent.
• Remboursement à l'échéance basé sur la performance de l'indice sous-jacent.
• Pas de protection du capital; risque de perte partielle ou totale.
• Paiement de remboursement par anticipation augmente à chaque date d'observation.
• À l'échéance, paiement dépendant du niveau de l'indice par rapport à la barrière.","Ce produit est un titre de créance lié à l'indice Euronext G Bouygues 261021 GR Decrement 1.7 Index, avec une durée de 8 ans et 9 mois et sans intérêts. Il offre un potentiel de remboursement anticipé basé sur la performance de l'indice, avec un paiement croissant à chaque date d'observation. À l'échéance, le remboursement dépend de la performance de l'indice par rapport à un niveau de barrière prédéfini, avec un risque de perte partielle ou totale du capital investi. Le produit est classé dans la classe de risque la plus basse (1 sur 7), mais sans protection du capital. La complexité de ce produit est considérée comme moyenne en raison de sa structure conditionnelle et de son lien avec la performance d'un indice de marché.",moyenne
FR0014002X35,Autocall Mensuel Environnement Août 2021,Goldman Sachs International,2021-05-10,2033-08-23,Oui,1000.0,0.0,0.6,5,S&P Eurozone 30 ESG-Momentum Equal Weight 50-Point Decrement Index (EUR) TR,Indice,Non spécifié,0.0,0.0,0.009,Non spécifié,Non spécifié,-0.604,0.101,Non spécifié,2024-02-28,"• Titre de créance sans génération d'intérêts.
• Remboursement anticipé possible selon performance de l'indice sous-jacent.
• Paiement à l'échéance dépendant de la performance de l'indice sous-jacent.
• Pas de protection du capital investi.
• Possibilité de perte totale de l'investissement.","Le produit 'Autocall Mensuel Environnement Août 2021' est un titre de créance émis par Goldman Sachs International, lié à la performance de l'indice S&P Eurozone 30 ESG-Momentum Equal Weight 50-Point Decrement Index (EUR) TR. Il offre un potentiel de remboursement anticipé mensuel si l'indice atteint ou dépasse 100% de son cours de référence initial, avec un paiement croissant à chaque date de paiement. À l'échéance, si aucun remboursement anticipé n'a eu lieu, le paiement dépendra de la performance de l'indice par rapport à son cours de référence initial et au niveau de la barrière. Le produit ne garantit pas le capital investi et présente un risque de perte totale. Il est classé avec un niveau de risque de 5 sur 7, indiquant un risque entre moyen et élevé. La complexité de ce produit est considérée comme moyenne en raison de sa structure de paiement conditionnelle et de l'absence de protection du capital.",moyenne
XS2061716770,Produit (sous forme de titre de créance) de remboursement par anticipation avec barrière de 11 ans lié à l'indice S&P Europe LargeMidCap Energy (Industry Group) 50 Point Decrement Index (EUR) TR,Goldman Sachs Finance Corp International Ltd,2022-03-24,2034-05-02,Oui,1000.0,0.0,0.4,1,S&P Europe LargeMidCap Energy (Industry Group) 50 Point Decrement Index (EUR) TR,Indice,Non spécifié,0.0,0.0,0.029,0.002,Non spécifié,0.009,0.009,Non spécifié,2024-02-28,"• Potentiel d'appréciation du capital sans génération d'intérêts.
• Dépendance de la performance de l'indice sous-jacent avec réinvestissement des dividendes et déduction d'un Décrément prédéfini.
• Possibilité de remboursement anticipé basé sur la performance de l'indice à des dates d'observation spécifiques.
• Paiement croissant à chaque date de paiement du remboursement par anticipation.
• À l'échéance, paiement basé sur la performance de l'indice et le niveau de la barrière.","Ce produit est un titre de créance lié à l'indice S&P Europe LargeMidCap Energy, avec une durée de 11 ans et une échéance le 2 mai 2034. Il offre un potentiel de croissance du capital sans intérêts, basé sur la performance de l'indice sous-jacent, qui est ajustée par un Décrément prédéfini et le réinvestissement des dividendes. Le remboursement anticipé est possible si l'indice dépasse un certain seuil à des dates d'observation prédéfinies, avec un paiement croissant à chaque date de paiement. À l'échéance, si aucun remboursement anticipé n'a eu lieu, le paiement dépendra de la performance de l'indice par rapport à un niveau de barrière. Le produit est classé dans la classe de risque la plus basse (1 sur 7), mais il n'offre pas de protection du capital et peut entraîner une perte totale de l'investissement en cas de défaut de l'émetteur ou du garant. La complexité de ce produit est considérée comme moyenne en raison de sa structure conditionnelle et de son lien avec la performance d'un indice spécifique.",moyenne
XS2481016363,Autocall Banques Garanti Juin 2023,Goldman Sachs Finance Corp International Ltd,2023-04-14,2033-06-29,Oui,1000.0,1.0,0,2,"Euronext G BNP 010622 GR Decrement 3.50 Index, Euronext G Credit Agricole 010622 GR Decrement 0.8 Index, Euronext G Societe Generale 261021 GR Decrement 1.80 Index",Indices,,0.0,0.0,0.027,0.008,Non,-0.217,0.07,,2024-02-28,"• Titre de créance sans génération d'intérêts.
• Remboursement anticipé possible en fonction de la performance d'un panier d'indices.
• Paiement à l'échéance dépendant de la performance du panier.
• Remboursement anticipé avec paiements croissants à chaque date d'observation.
• À l'échéance, paiement de 1 650,00 EUR si performance du panier ≥ 80%, sinon 1 000,00 EUR.","Le produit Autocall Banques Garanti Juin 2023 est un titre de créance de Goldman Sachs lié à un panier d'indices bancaires avec une échéance maximale de 9 ans et 4 mois. Il offre un potentiel de remboursement anticipé avec des paiements croissants si la performance du panier est supérieure ou égale à 100% à des dates d'observation spécifiques. À l'échéance, si aucun remboursement anticipé n'a eu lieu et que la performance du panier est au moins égale à 80%, un paiement de 1 650,00 EUR est prévu, sinon le remboursement est de 1 000,00 EUR. Le produit est conçu pour des investisseurs ayant une compréhension avancée et une expérience dans des produits similaires, et est classé avec un risque de 2 sur 7, indiquant un risque faible. La complexité de ce produit est considérée comme moyenne en raison de sa structure de paiement conditionnelle et de la dépendance à la performance d'un panier d'indices.",moyenne
FR0013254968,Zenith 3,Natixis,2017-06-20,2026-01-12,Oui,100.0,0.0,0.4,4,CAC Large 60 EWER,Indice,FR0012663334,0.0006,0.0,Non mentionné,0.0,Non,-0.5525,0.3117,Non mentionné,2024-02-29,"• Paiements d'intérêt conditionnels à la performance du sous-jacent.
• Remboursement à l'échéance basé sur la performance finale du sous-jacent.
• Si performance finale ≥ -40% : remboursement du nominal + le plus élevé entre la performance maximale du sous-jacent et 36%.
• Si performance finale < -40% : remboursement du nominal - valeur absolue de la performance finale du sous-jacent.
• Possibilité de perte totale ou partielle du capital investi.","Zenith 3 est un titre de créance émis par Natixis, lié à la performance de l'indice CAC Large 60 EWER. Il offre des paiements d'intérêt conditionnels et un remboursement à l'échéance qui dépend de la performance finale de l'indice. Si cette performance est supérieure ou égale à -40%, l'investisseur reçoit un montant supplémentaire. En cas de performance inférieure, l'investisseur subit une perte en capital. Le produit est classé avec un risque moyen-élevé (4 sur 7) et ne prévoit pas de protection du capital. Il est destiné aux investisseurs ayant une tolérance au risque correspondante et une connaissance suffisante des produits financiers. La complexité de ce produit est considérée comme moyenne en raison de sa dépendance à la performance d'un indice et de la structure conditionnelle de ses paiements.",moyenne
FR0014008F98,Performance Europe Mars 2022,Natixis Structured Issuance,2022-03-01,2032-04-13,Oui,1000.0,0.0,0.6,5,Iedge Europe Climate EW 40 Decrement 50 Points GTR Index,Indice,,0.004,0.0,0.005,0.0,0,-0.9746,0.1398,,2024-02-29,"• Paiements d'intérêt conditionnels à la performance du sous-jacent.
• Remboursement anticipé possible si performance du sous-jacent ≥ 0% à des dates d'évaluation spécifiques.
• À l'échéance, si non remboursé par anticipation :
  - Sans événement de barrière et performance finale ≥ 0% : Montant Nominal + Montant d'Intérêt.
  - Sans événement de barrière et performance finale < 0% : Montant Nominal.
  - Avec événement de barrière : Montant Nominal - (Montant Nominal * valeur absolue de la Performance Finale).
• Événement de barrière si valeur de clôture < 60% de la valeur initiale à la date d'évaluation finale.","Le produit Performance Europe Mars 2022 est un titre de créance sans protection du capital émis par Natixis, avec une échéance en avril 2032. Il offre des paiements d'intérêt conditionnels à la performance de l'indice Iedge Europe Climate EW 40 Decrement 50 Points GTR Index. Un remboursement anticipé est possible si la performance du sous-jacent est supérieure ou égale à 0% à des dates d'évaluation prédéfinies. À l'échéance, si le produit n'est pas remboursé par anticipation, le remboursement dépend de la performance finale du sous-jacent et de l'occurrence d'un événement de barrière. Le produit est classé avec un risque de 5 sur 7, indiquant un niveau de risque moyen à élevé. Ce produit est considéré comme complexe en raison de sa structure conditionnelle et de l'absence de garantie de capital.",complexe
FR001400I459,Digitales Coupon Fixe - 3 ans,Natixis,2023-06-22,2026-06-22,Oui,1000.0,1.0,0,1,EURO STOXX 50 Price EUR,Indice,,0.0174,0.0,0.005,0.0,0,-0.0166,0.0284,,2024-02-29,"• Paiements d'intérêt liés à l'évolution du sous-jacent.
• Capital garanti à maturité.
• Intérêt de 8,75% ou 8,5% du Montant Nominal selon la Performance du Sous-jacent.
• Remboursement du Montant Nominal à la Date de Maturité.","Le produit 'Digitales Coupon Fixe - 3 ans' est un titre de créance avec une durée de 3 ans, émis par Natixis. Il offre des paiements d'intérêt annuels basés sur la performance de l'indice EURO STOXX 50 Price EUR, avec un taux d'intérêt de 8,75% si la performance est positive ou 8,5% dans le cas contraire. Le capital est garanti à l'échéance. Le produit est conçu pour être conservé jusqu'à maturité, avec un risque classé comme très faible (1 sur 7). Les frais d'entrée sont de 1,74% et il n'y a pas de frais de gestion annuels. La complexité de ce produit est considérée comme très simple en raison de sa garantie de capital et de son profil de risque faible.",très simple
FR001400HUB0,Proximité Action SG Decrement Novembre 2023,Natixis Structured Issuance,2023-05-26,2033-12-05,Oui,1000.0,0.0,0.3,4,iEdge Societe Generale SA Decrement 1.65 EUR GTR Series 2 Index,Indice,Non spécifié,0.071,0.0,0.005,0.008,0,-0.9335,0.0989,Non spécifié,2024-02-29,"• Paiements d'intérêt conditionnels à la performance du sous-jacent.
• Remboursement anticipé si performance du sous-jacent ≥ Niveau de Barrière de Remboursement Automatique Anticipé.
• À l'échéance, si non remboursé par anticipation :
  Sans événement de barrière : remboursement du Montant Nominal.
  Avec événement de barrière : remboursement du Montant Nominal diminué de la perte en capital équivalente à la baisse de performance du sous-jacent.","Le produit Proximité Action SG Decrement Novembre 2023 est un titre de créance émis par Natixis Structured Issuance, avec une échéance en décembre 2033. Il offre des paiements d'intérêt conditionnels à la performance d'un indice spécifique, avec la possibilité d'un remboursement anticipé si la performance du sous-jacent est supérieure ou égale à un niveau de barrière dynamique spécifié. À l'échéance, si le produit n'a pas été remboursé par anticipation, le remboursement dépend de la performance finale du sous-jacent et peut entraîner une perte en capital si un événement de barrière s'est produit. Le produit est classé avec un niveau de risque moyen (4 sur 7) et ne garantit pas le capital investi. La complexité de ce produit est considérée comme moyenne en raison de ses caractéristiques de paiement conditionnel et de la structure de remboursement liée à la performance d'un indice.",moyenne
TBD,Autocall Coupon Garanti ECO5E,Natixis Structured Issuance,2022-04-25,2032-08-09,Oui,1000.0,0.0,0.6,4,Euronext Climate Objective 50 Euro EW Decrement 5%,Indice,NL0013025588,0.0058,0.0,Non mentionné,0.0021,0,-0.6849,0.0364,Non mentionné,2024-02-29,"• Paiements d'intérêt conditionnels à la performance du sous-jacent.
• Intérêt fixe versé à des dates spécifiques.
• Possibilité de remboursement anticipé si la performance du sous-jacent est supérieure ou égale à -11,5% à certaines dates d'évaluation.
• À l'échéance, remboursement du montant nominal sauf si un événement de barrière s'est produit, auquel cas le remboursement est réduit en fonction de la performance finale du sous-jacent.","Le produit Autocall Coupon Garanti ECO5E est un titre de créance émis par Natixis Structured Issuance avec une garantie de Natixis, visant à fournir des paiements d'intérêt conditionnels à la performance de l'indice Euronext Climate Objective 50 Euro EW Decrement 5%. Il offre un intérêt fixe et la possibilité d'un remboursement anticipé si la performance du sous-jacent est supérieure ou égale à -11,5% à des dates d'évaluation spécifiques. Si le produit n'est pas remboursé par anticipation, le remboursement à l'échéance dépend de la survenue d'un événement de barrière. Le produit est classé avec un niveau de risque moyen (4 sur 7) et ne prévoit pas de protection du capital, ce qui signifie que les investisseurs peuvent perdre tout ou partie de leur investissement initial. La complexité du produit est considérée comme moyenne en raison de ses caractéristiques de paiement conditionnel et de la dépendance à la performance d'un indice spécifique.",moyenne
FR0012881886,Equinoxe Janvier 2026,Natixis,2015-12-29,2026-01-15,Oui,100.0,0.9,0,2,CAC Large 60 Equal Weight Excess Return,Indice,,0.0,0.0,0.0,0.0,0,-0.1,,,2024-02-29,"• Titre de créance avec protection de 90% du capital à maturité.
• Possibilité de remboursement anticipé si performance du sous-jacent ≥ 15% à certaines dates.
• Remboursement anticipé = 125% du montant nominal.
• À l'échéance, si non remboursé par anticipation :
  - Performance Moyenne du Sous-jacent ≥ 0% : Montant Nominal + Performance Moyenne.
  - Performance Moyenne du Sous-jacent < 0% : Montant Nominal - Performance Moyenne, avec un minimum de 90% du Montant Nominal.","Equinoxe Janvier 2026 est un produit structuré sous forme de titre de créance avec une protection partielle du capital à hauteur de 90% à l'échéance. Il offre un potentiel de remboursement anticipé si la performance du sous-jacent CAC Large 60 Equal Weight Excess Return est supérieure ou égale à 15% à des dates d'évaluation spécifiques, avec un paiement de 125% du montant nominal. À l'échéance, le remboursement dépend de la performance moyenne du sous-jacent, avec une protection du capital jusqu'à une perte maximale de 10%. Le produit est classé avec un niveau de risque de 2 sur 7, indiquant un risque faible. Il est destiné aux investisseurs ayant un objectif de conservation et de croissance du capital, prêts à accepter un risque de crédit de l'émetteur et ayant une tolérance au risque en ligne avec l'indicateur de risque. La complexité de ce produit est considérée comme moyenne en raison de sa structure conditionnelle de paiement et de la protection partielle du capital.",moyenne
FR0013370962,Nymphéa Avril 2029,Natixis,2019-04-16,2029-04-20,Oui,100.0,0.9,0,2,Euronext ® Climate Objective 50 Euro EW Decrement 5%,Indice,NL0013025588,0.0,0.0,0.0,0.0015,0,-0.0432,0.3899,,2024-02-29,"• Performance liée à l'évolution de l'indice sous-jacent.
• Protection de 90% du capital à l'échéance.
• Remboursement anticipé possible si performance ≥15% à une date d'évaluation spécifique.
• Remboursement à l'échéance basé sur la performance finale de l'indice.
• Perte en capital possible jusqu'à 10% si performance finale < 0%.","Nymphéa Avril 2029 est un titre de créance offrant une protection de 90% du capital à l'échéance. Il est lié à l'indice Euronext ® Climate Objective 50 Euro EW Decrement 5% et propose un remboursement anticipé si la performance de l'indice est ≥15% à une date d'évaluation prédéfinie. À l'échéance, si le produit n'a pas été remboursé par anticipation, le remboursement dépend de la performance finale de l'indice. Si cette performance est positive, le montant nominal est augmenté de la performance de l'indice. Si elle est négative, le montant nominal est réduit, avec une perte en capital pouvant atteindre 10%. Le produit est classé avec un risque de 2 sur 7, indiquant un risque faible. La complexité du produit est considérée comme moyenne en raison de la protection partielle du capital et des mécanismes de remboursement conditionnels.",moyenne
FR001400HJP3,AUTOCALL AIRBAG NOTE,Natixis Structured Issuance,2023-06-15,2033-06-29,Oui,1000.0,0.0,0.5,5,iEdge France Value 10 EW Decrement 50 Points Index,Indice,,0.0575,0.0,0.005,0.0,0,-0.9373,0.079,,2024-02-29,"• Paiements d'intérêt conditionnels à la performance du sous-jacent.
• Remboursement anticipé si performance du sous-jacent >= -5% à une date d'évaluation.
• À l'échéance, si non remboursé par anticipation :
  Sans événement de barrière et performance finale >= -20% : Montant Nominal + Intérêt.
  Sans événement de barrière et performance finale < -20% : Montant Nominal.
  Avec événement de barrière : Montant Nominal - (Montant Nominal * valeur absolue de la performance finale).
• Événement de barrière si valeur de clôture < 50% de la valeur initiale à la date d'évaluation finale.","L'AUTOCALL AIRBAG NOTE est un titre de créance avec une durée de 10 ans, émis par Natixis Structured Issuance. Il vise à fournir des paiements d'intérêt conditionnels à la performance d'un indice spécifique, avec un risque de perte en capital si certaines conditions de marché ne sont pas remplies. Le produit offre un remboursement anticipé si la performance du sous-jacent est supérieure ou égale à -5% à des dates d'évaluation spécifiques. À l'échéance, le remboursement dépend de la performance finale du sous-jacent et de l'occurrence d'un événement de barrière. Le produit est classé avec un niveau de risque de 5 sur 7, indiquant un risque moyen à élevé. La complexité de ce produit est considérée comme moyenne en raison de ses caractéristiques de paiement conditionnel et de la possibilité de perte en capital.",moyenne
FR001400C8G1,H Absolu 14,Natixis Structured Issuance,2022-09-20,2034-12-08,Oui,1000.0,0.0,0.7,5,EURO iSTOXX 70 Equal Weight Decrement 5% EUR,Indice,CH0321427582,0.0071,0.0,Non mentionné,0.0,Non,-0.9662,0.0249,Non mentionné,2024-02-29,"• Paiements d'intérêt conditionnels à la performance du sous-jacent.
• Remboursement anticipé possible si la performance du sous-jacent est ≥ 0% à des dates d'évaluation spécifiques.
• À l'échéance, si non remboursé par anticipation :
  - Performance finale ≥ -20% : Montant Nominal + Intérêt.
  - Performance finale < -20% sans événement de barrière : Montant Nominal.
  - Avec événement de barrière : Montant Nominal - (Montant Nominal * Valeur absolue de la Performance Finale).
• Événement de barrière si valeur de clôture < 70% de la valeur initiale à la date d'évaluation finale.","H Absolu 14 est un titre de créance lié à l'indice EURO iSTOXX 70 Equal Weight Decrement 5% EUR, sans protection du capital. Il offre des paiements d'intérêt conditionnels et la possibilité d'un remboursement anticipé si la performance du sous-jacent est positive à des dates d'évaluation prédéfinies. À l'échéance, le remboursement dépend de la performance du sous-jacent et de l'occurrence d'un événement de barrière. Le produit est classé avec un risque de 5 sur 7, indiquant un niveau de risque moyen à élevé. La complexité est considérée comme moyenne en raison de la structure conditionnelle des paiements et du risque de perte en capital.",moyenne
FR001400JNE5,OPPORTUNITE OCTOBRE 2023,Natixis Structured Issuance,2023-09-04,2033-10-20,Oui,1000.0,0.0,0.5,5,CAC Large 60 Equal Weight Excess Return,Indice,FR0012663334,0.0525,0.0,0.005,0.0,0,-0.978,0.0001,,2024-02-29,"• Paiements d'intérêt conditionnels à la performance du sous-jacent.
• Remboursement anticipé possible si la performance du sous-jacent est supérieure ou égale à -3% à certaines dates d'évaluation.
• À l'échéance, si non remboursé par anticipation :
  - Performance finale du sous-jacent ≥ -3% : Montant Nominal + Montant d'Intérêt.
  - Performance finale du sous-jacent < -3% sans événement de barrière : Montant Nominal.
  - Avec événement de barrière : Montant Nominal ajusté négativement par la performance finale du sous-jacent.","Le produit OPPORTUNITE OCTOBRE 2023 est un titre de créance émis par Natixis Structured Issuance, lié à l'indice CAC Large 60 Equal Weight Excess Return. Il offre des paiements d'intérêt conditionnels à la performance de l'indice et permet un remboursement anticipé si l'indice ne baisse pas de plus de 3% à des dates d'évaluation spécifiques. À l'échéance, le remboursement dépend de la performance de l'indice et de l'occurrence d'un événement de barrière. Si l'indice chute de plus de 50% à la date d'évaluation finale, le capital est ajusté négativement. Ce produit est classé avec un niveau de risque de 5 sur 7, indiquant un risque moyen à élevé, et ne garantit pas le capital investi. La complexité de ce produit est considérée comme moyenne en raison de ses caractéristiques de paiement conditionnel et de la possibilité de perte en capital.",moyenne
FR001400GA97,Phoenix Mémoire Semestriel Duo - 10 ans,Natixis,2023-04-26,2033-04-28,Oui,1000.0,0.08,0.6,5,iEdge PAB Climate Objective 40 Euro Decrement 5% NTR Index,Indice,Non spécifié,0.0651,0.0,0.005,0.0,Non,Non spécifié,Non spécifié,Non spécifié,2024-02-29,"• Paiements d'intérêt conditionnels à la performance du sous-jacent.
• Possibilité de remboursement anticipé si la performance du sous-jacent est supérieure ou égale à 0% à certaines dates.
• À l'échéance, remboursement du montant nominal sauf si un événement de barrière s'est produit, auquel cas le remboursement est réduit proportionnellement à la baisse de la performance du sous-jacent.","Le produit Phoenix Mémoire Semestriel Duo - 10 ans est un titre de créance émis par Natixis, avec une durée de 10 ans. Il offre des paiements d'intérêt conditionnels basés sur la performance d'un indice environnemental, avec une fonctionnalité de mémoire pour les intérêts non payés. Un remboursement anticipé est possible si la performance de l'indice est non négative à des dates d'évaluation spécifiques. À l'échéance, le remboursement est au montant nominal, sauf si la valeur de clôture de l'indice est inférieure à 60% de sa valeur initiale, auquel cas le remboursement est ajusté à la baisse. Le produit a un niveau de risque moyen à élevé (5 sur 7) et ne garantit que 8% du capital investi, avec une perte potentielle totale en cas de sortie anticipée ou de défaut de l'émetteur.",complexe
FR0014009PW7,Opportunité Juin 2022,Natixis Structured Issuance,2022-05-16,2032-06-24,Oui,1000.0,0.0,0.6,5,CAC Large 60 Equal Weight Excess Return,Indice,FR0012663334,0.0009,0.0,Non spécifié,0.0,0.0,-0.8559,0.0756,Non spécifié,2024-02-29,"• Paiements d'intérêt conditionnels basés sur la performance du sous-jacent.
• Possibilité de remboursement anticipé si la performance du sous-jacent est supérieure ou égale à -5% à des dates d'évaluation spécifiques.
• À l'échéance, si non remboursé par anticipation :
  - Performance finale du sous-jacent ≥ -5% : paiement du montant nominal plus intérêts.
  - Performance finale du sous-jacent < -5% sans événement de barrière : paiement du montant nominal.
  - Avec événement de barrière : paiement du montant nominal diminué de la perte en capital équivalente à la baisse de performance du sous-jacent.","Le produit Opportunité Juin 2022 est un titre de créance émis par Natixis Structured Issuance, lié à l'indice CAC Large 60 Equal Weight Excess Return. Il offre des paiements d'intérêt conditionnels et la possibilité d'un remboursement anticipé si la performance du sous-jacent est supérieure ou égale à -5% à des dates d'évaluation prédéfinies. Si le produit n'est pas remboursé par anticipation, le remboursement à l'échéance dépend de la performance finale du sous-jacent et de la survenue d'un événement de barrière. Le produit est classé avec un niveau de risque de 5 sur 7, indiquant un risque moyen à élevé. Il n'offre pas de protection du capital et est destiné aux investisseurs disposés à accepter un risque de perte totale de leur capital. La complexité de ce produit est considérée comme moyenne en raison de ses caractéristiques de paiement conditionnel et de la dépendance à la performance d'un indice spécifique.",moyenne
FR001400G4W3,PHOENIX MEMOIRE DEGRESSIF BNP 3.45€ 2023,Natixis (Emetteur : Natixis Structured Issuance / Garant : Natixis),2023-03-09,2033-04-28,Oui,1000.0,0.0,0.5,6,Iedge BNP Paribas SA Decrement 3.45 EUR GTR Series 1 Index,Indice,Non spécifié,0.109,0.0,0.005,0.002,0,-0.9796,0.0639,Non spécifié,2024-02-29,"• Paiements d'intérêt conditionnels à la performance du sous-jacent.
• Remboursement anticipé possible si performance du sous-jacent est supérieure ou égale au niveau de barrière dynamique à des dates d'évaluation spécifiques.
• À l'échéance, remboursement du montant nominal sauf si un événement de barrière s'est produit, auquel cas le remboursement est diminué de la performance finale négative du sous-jacent.","Le produit PHOENIX MEMOIRE DEGRESSIF BNP 3.45€ 2023 est un titre de créance émis par Natixis Structured Issuance avec une garantie de Natixis. Il vise à fournir des paiements d'intérêt conditionnels à la performance d'un indice spécifique, avec la possibilité de remboursement anticipé si la performance est supérieure ou égale à des niveaux de barrière dynamiques. En cas de baisse significative de l'indice sous-jacent, il existe un risque de perte en capital. Le produit est classé avec un niveau de risque élevé (6 sur 7) et ne garantit pas le capital investi. La complexité de ce produit est considérée comme élevée en raison de sa structure conditionnelle et de la dépendance à la performance d'un indice spécifique.",complexe
FR001400H3T0,One Step Luxe Mai 2023,Natixis Structured Issuance,2023-04-12,2033-06-14,Oui,1000.0,0.0,0.5,5,iEdge Transatlantic Luxury Goods & Services 10 EW Decrement 50 Points GTR Index,Indice,,0.11,0.0,0.005,0.0,0,-0.9795,0.0612,,2024-02-29,"• Paiements d'intérêt conditionnels à la performance du sous-jacent.
• Remboursement anticipé possible si la performance du sous-jacent est ≥ -8% à des dates d'évaluation spécifiques.
• À l'échéance, si non remboursé par anticipation :
  - Performance finale du sous-jacent ≥ -8% : Montant Nominal + Montant d'Intérêt.
  - Performance finale du sous-jacent < -8% sans événement de barrière : Montant Nominal.
  - Avec événement de barrière : Montant Nominal ajusté négativement par la performance finale du sous-jacent.","Le produit One Step Luxe Mai 2023 est un titre de créance émis par Natixis Structured Issuance, sans garantie de capital, avec une échéance en juin 2033. Il offre des paiements d'intérêt conditionnels à la performance d'un indice de luxe transatlantique, avec la possibilité de remboursement anticipé si la performance du sous-jacent est supérieure ou égale à -8% à des dates d'évaluation prédéfinies. Si le produit n'est pas remboursé par anticipation, le remboursement à l'échéance dépend de la performance finale du sous-jacent et de l'occurrence d'un événement de barrière. Le produit est classé avec un niveau de risque de 5 sur 7, indiquant un risque moyen à élevé. La complexité de ce produit est considérée comme moyenne en raison de la structure conditionnelle des paiements et du risque de perte en capital.",moyenne
FR00140024Y1,Athéna Trimestriel France 60 Avril 2021,Natixis Structured Issuance,2021-03-24,2031-04-29,Oui,1000.0,0.0,0.6,5,CAC Large 60 Equal Weight Excess Return,Indice,FR0012663334,0.0084,0.0,0.0,0.0019,0,-0.9012,0.0693,,2024-02-29,"• Paiements d'intérêt conditionnels à la performance du sous-jacent.
• Possibilité de remboursement anticipé si la performance du sous-jacent est supérieure ou égale à 0% à des dates d'évaluation spécifiques.
• À l'échéance, si non remboursé par anticipation :
  - Sans événement de barrière et performance finale ≥ 0% : Montant Nominal + 70% du Montant Nominal.
  - Sans événement de barrière et performance finale < 0% : Montant Nominal.
  - Avec événement de barrière : Montant Nominal ajusté négativement par la performance finale du sous-jacent.","Athéna Trimestriel France 60 Avril 2021 est un titre de créance sans protection du capital émis par Natixis, avec une maturité de 10 ans. Il offre des paiements d'intérêt conditionnels à la performance du sous-jacent CAC Large 60 Equal Weight Excess Return. Le produit peut être remboursé par anticipation si la performance du sous-jacent est positive à des dates d'évaluation prédéfinies. À l'échéance, le remboursement dépend de la performance finale du sous-jacent et de l'occurrence d'un événement de barrière. Le produit est classé avec un risque de 5 sur 7, indiquant un niveau de risque moyen à élevé. La complexité du produit est considérée comme moyenne en raison de la structure conditionnelle des paiements et de la dépendance à la performance d'un indice spécifique.",moyenne
FR001400EEG0,Stratégie Patrimoine Février 2023,Natixis (Emetteur : Natixis Structured Issuance / Garant : Natixis),2022-12-09,2031-03-03,Oui,1000.0,0.0,0.6,6,Societe Generale,Action,FR0000130809,0.0086,0.0,Non mentionné,0.0,Non,-1.0,0.225,Non mentionné,2024-02-29,"• Paiements d'intérêt conditionnels basés sur la performance de l'action Societe Generale.
• Remboursement anticipé possible si la performance du sous-jacent est supérieure ou égale à -10% à des dates d'évaluation spécifiques.
• À l'échéance, si non remboursé par anticipation :
  - Performance finale ≥ -10% : Montant Nominal + Montant d'Intérêt.
  - Performance finale < -10% sans événement de barrière : Montant Nominal.
  - Avec événement de barrière : Montant Nominal ajusté négativement par la performance finale.","Le produit Stratégie Patrimoine Février 2023 est un titre de créance émis par Natixis Structured Issuance avec une garantie de Natixis, visant à fournir des paiements d'intérêt conditionnels basés sur la performance de l'action Societe Generale. Il offre la possibilité d'un remboursement anticipé si la performance du sous-jacent est supérieure ou égale à -10% à des dates d'évaluation prédéfinies. Si le produit n'est pas remboursé par anticipation, le remboursement à l'échéance dépend de la performance finale du sous-jacent et de l'occurrence d'un événement de barrière. Le produit est classé avec un niveau de risque élevé (6 sur 7) et ne garantit pas le capital investi, ce qui peut entraîner une perte totale ou partielle du capital en cas de performance négative du sous-jacent. La complexité de ce produit est considérée comme élevée en raison de sa structure conditionnelle et de la dépendance à la performance d'une action spécifique.",complexe
